mask,target_ratio,achieved_ratio,acceleration,psnr,ssim
cartesian,1.0,1.0,1.0,321.74738142503634,1.0000000000000089
cartesian,0.5,0.5,2.0,26.81424750033869,0.6831639009936976
cartesian,0.25,0.25,4.0,20.54449281425707,0.5491163413156115
cartesian,0.125,0.125,8.0,17.433109786428176,0.5348329187954184
radial,1.0,1.0,1.0,321.74738142503634,1.0000000000000089
radial,0.5,0.503753662109375,1.985097231477555,29.635514328741777,0.47596166638291637
radial,0.25,0.250732421875,3.988315481986368,23.294894579787385,0.3115360437394073
radial,0.125,0.12744140625,7.846743295019157,19.65183908700198,0.2762634139614752
variable_density,1.0,1.0,1.0,321.74738142503634,1.0000000000000089
variable_density,0.5,0.499755859375,2.0009770395701025,31.582643440574813,0.8226726594635291
variable_density,0.25,0.2490997314453125,4.014456355283308,28.859291700508813,0.7223154655988727
variable_density,0.125,0.1253662109375,7.976630963972736,25.81305693971457,0.4777374520250265
